Time Doctor Sign (ms);Time Produce Derived Proof (ms);Time to Verify (ms)
399.69;414.60;244.84
306.83;426.52;220.10
266.17;346.20;193.93
408.76;461.43;264.69
384.83;459.14;242.43
266.44;348.30;194.43
266.03;346.20;193.75
373.96;405.08;357.05
430.81;438.21;240.25
311.22;455.88;273.97
357.55;405.69;289.35
258.57;295.09;148.19
271.00;332.97;198.33
211.38;270.84;167.93
324.75;286.87;228.05
215.87;282.87;180.16
249.27;285.24;168.48
212.86;305.80;157.81
220.65;296.67;164.65
219.08;329.95;176.06
211.07;318.26;158.38
228.04;302.48;157.63
224.05;286.54;160.59
255.07;287.95;154.08
204.09;316.51;176.04
218.63;311.45;157.77
207.55;338.02;182.94
226.52;295.16;151.81
255.95;287.91;144.29
215.47;342.39;142.02
215.58;306.28;157.71
213.44;426.76;176.87
218.41;285.62;151.58
284.27;292.51;172.67
223.72;311.92;157.32
217.77;306.32;162.96
270.27;319.50;224.81
215.29;281.69;151.01
278.16;289.46;185.79
225.81;291.10;138.12
270.57;324.35;170.57
343.52;333.73;170.86
205.15;277.79;193.56
228.73;296.71;154.15
229.23;318.89;183.84
218.73;289.63;161.70
350.80;303.48;170.11
211.26;307.28;163.69
229.88;297.85;168.32
225.59;360.59;210.40
216.07;282.85;152.11
258.36;312.94;156.37
216.80;335.94;194.92
233.51;290.88;166.79
236.17;352.37;152.59
210.96;286.51;155.66
311.63;320.53;178.81
212.63;332.88;165.91
212.28;282.02;168.43
222.96;295.59;217.86
228.48;294.29;156.03
258.85;307.41;223.01
215.28;300.58;178.86
229.28;306.64;175.97
236.53;324.71;258.29
219.29;292.22;168.25
220.53;287.97;168.22
226.62;318.16;175.92
209.50;289.57;159.58
289.03;387.31;199.51
227.94;339.66;171.13
241.00;285.67;160.98
256.38;312.72;231.46
219.00;288.99;178.54
349.61;289.81;163.29
248.68;341.31;182.23
213.45;307.90;165.12
222.91;340.55;194.64
224.65;352.71;185.13
238.50;299.56;161.78
216.79;308.58;180.06
258.53;289.52;167.39
272.82;381.59;176.64
225.71;309.72;141.97
223.10;302.11;161.59
226.91;352.92;170.53
239.09;312.11;158.80
300.34;310.61;186.54
228.14;357.27;162.21
224.71;298.72;179.64
268.44;328.74;229.65
397.87;319.10;201.69
225.72;317.54;166.96
241.79;335.40;189.76
239.08;366.01;171.66
234.92;320.93;181.26
259.59;340.62;213.04
